축제명,개최장소,축제시작일자,축제종료일자,축제내용,전화번호,홈페이지주소,소재지도로명주소,소재지지번주소,위도,경도,,,,,
강릉커피축제,강릉대도호부 관아지 등,2022-10-06,2022-10-09,커피경연대회(바리스타+핸드드립+커핑+마카롱)+커피체험(로스팅+추출+커핑+공예품 등)+전시+공연 등,033-647-6802,http://www.coffeefestival.net,강원도 강릉시 임영로131번길 6 (용강동),강원도 강릉시 용강동 58-1,37.75294455,128.8919029,,,,,
전국생활문화축제 in강릉,강릉명주예술마당,2022-10-27,2022-10-30,전국 생활문화 활동 발표+기획 프로그램 등,033-647-6808,,강원도 강릉시 경강로 2021번길9-1,강원도 강릉시 명주동 49-1,37.75040333,128.8898121,,,,,
2022 강릉와인축제,강릉 월화거리 일원(문선빌딩 방면),2022-12-09,2022-12-11,도전 와인 골든벨+선셋 와인 아워+시음존 등 운영,033-647-6802,https://www.gncaf.or.kr/contents.asp?page=482,강원도 강릉시 경강로 2111,강원도 강릉시 임당동 106-1,37.75589225,128.8974693,,,,,
2022 강릉누들축제,강릉 월화거리 일원(홈플러스 방면),2022-12-16,2022-12-18,"누들 쿠킹쇼, 쿠킹클래스, 시식회, 대형 수제비 만들기 등",033-640-5130,,강원도 강릉시 경강로 2112,강원도 강릉시 임당동 113-2,37.75538612,128.8981649,,,,,
군위 삼장군단오축제,효령면 고지바위권역다목적센터 일원,2022-06-03,2022-06-03,단오축제,054-380-6866,,대구광역시 군위군 효령면 장군당 1길 24-6,대구광역시 군위군 효령면 장군리 116-3,,,,,,,
김수환추기경 사랑과 나눔 문화축전,김수환추기경 사랑과 나눔공원 일원,2022-10-29,2022-10-29,김수환추기경 문화축전,054-380-6065,,대구광역시 군위군 군위읍 군위금성로 270,대구광역시 군위군 군위읍 용대리 산 66-5,,,,,,,
제17회 구리 코스모스 축제,구리한강 시민공원,2017-09-22,2017-09-24,무대공연+체험부스운영+먹거리 체험+꽃 관람,031-550-2065,http://www.guri.go.kr,경기도 구리시 코스모스길14번길 249(토평동),경기도 구리시 토평동 810,37.574478,127.132863,,,,,
제18회 구리 유채꽃 축제,구리한강 시민공원,2018-05-04,2018-05-06,무대공연+체험부스운영+먹거리 체험+꽃 관람,031-550-2065,http://www.guri.go.kr,경기도 구리시 코스모스길14번길 249(토평동),경기도 구리시 토평동 810,37.574478,127.132863,,,,,
제18회 구리 코스모스 축제,구리한강 시민공원,2018-10-05,2018-10-07,무대공연+체험부스운영+먹거리 체험+꽃 관람,031-550-2065,http://www.guri.go.kr,경기도 구리시 코스모스길14번길 249(토평동),경기도 구리시 토평동 810,37.574478,127.132863,,,,,
제19회 구리 유채꽃 축제,구리한강 시민공원 및 시가지 일원,2019-05-10,2019-05-12,한강 꽃단지 체험 및 시가지 공연 등,031-550-2065,http://www.guri.go.kr,경기도 구리시 코스모스길14번길 249(토평동),경기도 구리시 토평동 810,37.574478,127.132863,,,,,
제19회 구리 코스모스 축제,구리한강 시민공원 및 시가지 일원,2019-09-27,2019-09-29,한강 꽃단지 체험 및 시가지 공연 등,031-550-2065,http://www.guri.go.kr,경기도 구리시 코스모스길14번길 249(토평동),경기도 구리시 토평동 810,37.574478,127.132863,,,,,
2023 구리 유채꽃 한강예술제,구리한강 시민공원,2023-05-12,2023-05-14,무대공연+체험부스운영+먹거리 체험+꽃 관람,031-550-2065,http://www.guri.go.kr,경기도 구리시 코스모스길14번길 249(토평동),경기도 구리시 토평동 810,37.574478,127.132863,,,,,
2023 구리 코스모스 한강예술제,구리한강 시민공원,2023-10-13,2023-10-15,무대공연+체험부스운영+먹거리 체험+꽃 관람,031-550-2065,http://www.guri.go.kr,경기도 구리시 코스모스길14번길 249(토평동),경기도 구리시 토평동 810,37.574478,127.132863,,,,,
광양매화축제,광양시 다압면 섬진마을 일원,2023-03-10,2023-03-19,공연+경연+체험+전시+판매+부대행사,061-797-2721,http://www.gwangyang.go.kr/tour_culture,전라남도 광양시 시청로 33,전라남도 광양시 중동 1313,34.94063056,127.6959675,,,,,
광양천년동백축제,광양시 옥룡면 동백림 일원,2023-03-11,2023-03-19,공연+경연+체험+전시+판매+부대행사,061-797-2603,http://www.gwangyang.go.kr/tour_culture,전라남도 광양시 옥룡면 신재로 624,전라남도 광양시 옥룡면 운평리 262,35.01695051,127.6192703,,,,,
백운산국사봉철쭉제,광양시 옥곡면 국사봉랜드,2023-04-29,2023-04-30,공연+경연+체험+전시+판매+부대행사,061-797-4233,http://www.gwangyang.go.kr/tour_culture,전라남도 광양시 옥곡면 옥진로 665-1,전라남도 광양시 옥곡면 수평리 131-3,34.98936299,127.7001825,,,,,
광양전어축제,광양시 진월면 망덕포구 일원,2023-08-01,2023-08-01,공연+경연+체험+전시+판매+부대행사,061-797-3679,http://www.gwangyang.go.kr/tour_culture,전라남도 광양시 진월면 망덕길 265,전라남도 광양시 진월면 망덕리 12-1,34.97164706,127.7587907,,,,,
광양숯불구이축제,광양시 광양읍 서천변 일원,2023-10-01,2023-10-01,공연+경연+체험+전시+판매+부대행사,061-797-4903,http://www.gwangyang.go.kr/tour_culture,전라남도 광양시 광양읍 남등길 6,전라남도 광양시 광양읍 칠성리 946,34.9733415,127.5810489,,,,,
광양k-pop 슈퍼 페스티벌,광양시 광양읍 공설운동장,2023-10-20,2023-10-21,공연+체험+부대행사,061-797-3714,http://www.gwangyang.go.kr/tour_culture,전라남도 광양시 광양읍 매천로 695-20,전라남도 광양시 광양읍 구산리 299,34.98292286,127.5754151,,,,,
제18회 영양산나물축제,영양군청 일원,2023-05-11,2023-05-14,판매+체험+공연+부대행사,054-680-6411,yftf.kr,경상북도 영양군 영양읍 군청길 37,경상북도 영양군 영양읍 서부리 379-1,36.66735774,129.1126844,,,,,
2023 영양고추 H.O.T Festival,서울광장,2023-09-18,2023-09-20,판매+체험+공연+부대행사,054-680-6381,yyg.go.kr,서울특별시 중구 세종대로 110,서울특별시 중구 태평로1가 31,37.56631769,126.9778284,,,,,
구례산수유꽃축제,산동면,2023-03-11,2023-03-19,산수유꽃 프로그램,061-780-2390,https://www.gurye.go.kr/tour/detail.do?tourId=TOUR_0000000100&menuNo=104001002000,,전라남도 구례군 산동면 좌사리 831,35.318767,127.4705342,,,,,
마곡사 신록축제,사곡면 운암리 마곡사일원,2022-05-07,2022-05-08,전시 운영+백범명상길 걷기+마곡사 보물찾기 등,041-840-2056,,충청남도 공주시 사곡면 마곡사로 966 마곡사,충청남도 공주시 사곡면 운암리 567,36.55740589,127.011603,,,,,
제68회 백제문화제,금강신관공원,2022-10-01,2022-10-10,웅진성퍼레이드+체험마당+무대공연+농특산품전시 및 판매,041-840-8112,https://www.baekje.org/kor/,충청남도 공주시 신관동 553,충청남도 공주시 신관동 553,36.47835102,127.1204236,,,,,
제5회 겨울공주 군밤축제,온라인,2022-01-29,2022-02-20,알밤 토크콘서트+공주알밤 디저트 UCC공모전+휴게소 홍보 등,041-840-2056,,충청남도 공주시 금학동 111-1,충청남도 공주시 금학동 111-1,36.43336915,127.124038,,,,,
제1회 유구색동수국정원 꽃축제,유구색동수국정원,2022-06-17,2022-06-19,공식+기획 행사+경관조성+체험프로그램+편의시설 운영 등,041-840-8111,,,충청남도 공주시 유구읍 유구리 648-17,36.5555033,126.9543952,,,,,
보이지 않아도 보이는,KT&G 상상마당 춘천 1전시실+KT&G 상상마당 춘천 2전시실,2022-07-13,2022-07-17,"전시장에서 작품을 관람하고자 할 때, 종종 만지지 마세요 눈으로만 보세요.’ 라는 글귀가 있다. 그러면 작품을 볼 수 없는 시작장애인에게 작품 감상은 불가능하다. 이번 전시는 장애인과 같이 문화적 소외자들에게도 작품 감상의 기회를 만들어 시각 예술 분야의 한계성을 극복해보고자 하는 전시이다.",,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=10597&search_type=1&search_keyword=EBB3B4EC9DB4ECA780+EC958AEC9584EB8F84+EBB3B4EC9DB4EB8A94,강원도 춘천시 스포츠타운길399번길 25 어린이회관,강원도 춘천시 삼천동 223-2 어린이회관,37.874066,127.702455,,,,,
Creative energy_김정현 개인展,춘천미술관,2022-07-01,2022-07-06,김정현 개인전,033-241-1856,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=10594&search_type=1&search_keyword=Creative+energy_EAB980ECA095ED9884+EAB09CEC9DB8E5B195,강원도 춘천시 서부대성로 71,강원도 춘천시 옥천동 73-2,37.88237413,127.73132,,,,,
2022년 강원PAX아라리 제 3회 정기연주회,국립춘천박물관 중앙홀,2022-06-29,2022-06-29,"강원팍스아라리 주관으로 수원대학교 교수 박영란 작곡가에게 위촉한 6곡의 아리랑을 피아노(4명의 피아니스트)와 국악기(7명의 국악기 연주자)가 함께 앙상블로 연주한다. 국악과 양악의 콜라보레이션으로서, 한국 전통 민요인 아리랑을 새롭게 재창조하며 다채로운 해석을 통하여 대중적으로 다가가는 공연이 될 것이다.",,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=10591&search_type=1&search_keyword=2022EB8584+EAB095EC9B90PAXEC9584EB9DBCEBA6AC+ECA09C+3ED9A8C+ECA095EAB8B0EC97B0ECA3BCED9A8C,강원도 춘천시 우석로 70 국립춘천박물관,강원도 춘천시 석사동 95-3,37.86401877,127.7521907,,,,,
제10회 서울동화축제,어린이대공원,2023-05-06,2023-05-07,어린이를 위한 동화 축제 개최,02-450-7596,,서울특별시 광진구 능동로 216(능동),서울특별시 광진구 능동 18,,,,,,,
제5회 명품한강 장미축제,자양3동 현대6차~8차 아파트사이,2023-05-20,2023-05-20,장미를 테마로 한 자양3동 주민이 화합하여 만드는 마을축제,02-450-1803,,서울특별시 광진구 자양번영로3길 66(자양동),서울특별시 광진구 자양동 786,,,,,,,
제1회 중곡2동 긴고랑 왕벚꽃축제,중곡2동 우정대중사우나 일대+중곡2동 긴고랑로 벚꽃구간,2023-04-01,2023-04-01,긴고랑로의 아름다운 ‘왕벚꽃길’을 알리며 주민이 화합하는 마을축제,02-450-1033,,서울특별시 광진구 능동로 346(중곡동),서울특별시 광진구 중곡동 47-33,,,,,,,
제1회 중곡3동 벚꽃축제,중곡3동 중랑천 뚝방길 둔치 체육공원,2023-04-02,2023-04-02,주민이 함께 참여하는 벚꽃축제,02-450-1052,,서울특별시 광진구 동일로76가길 28(중곡동),서울특별시 광진구 중곡동 684,,,,,,,
2023 청춘대로,"광진광장, 능동로 분수광장",2023-09-21,2023-09-22,청년페스티벌 축하 공연 등 다양한 청년참여 프로그램 운영,02-450-7596,,서울특별시 광진구광나루로 389(군자동),서울특별시 광진구 군자동 374-4,,,,,,,
제4회 대청호 벚꽃축제,신상동 벚꽃한터 일원,2022-04-08,2022-04-10,벚꽃 아트길+온라인 공연+경연대회,042-251-6686,https://www.donggu.go.kr/dg/tour/contents/988,,대전광역시 동구 신상동 282,36.35359044,127.4980431,,,,,
제5회 대청호 벚꽃축제,신상동 벚꽃한터 일원,2023-04-07,2023-04-09,벚꽃콘서트+경연대회+푸드트럭+체험프로그램 등,042-251-6686,https://www.donggu.go.kr/dg/tour/contents/988,,대전광역시 동구 신상동 282,36.35359044,127.4980431,,,,,
세종축제,세종호수공원,2023-10-06,2023-10-09,대형 수상극+버스킹+한글놀이터+시민 참여 프로그램 등,044-850-0556,http://sjfestival.kr/,세종특별자치시 갈매로 387,,36.49854685,127.2638296,,,,,
임실N치즈축제,임실치즈테마파크+임실치즈마을,2023-10-06,2023-10-09,국가대표 왕치즈피자 만들기+우유드림 행복드림 퍼레이드+임실N치즈페어+치즈경매,063-643-3900,www.imsilfestival.com,전라북도 임실군 성수면 도인2길 50,전라북도 임실군 성수면 도인리 689,35.63310329,127.3012599,,,,,
서산해미읍성축제,해미읍성,2023-10-06,2023-10-08,축성체험+병영체험+민초음식체험+미디어파사드 퍼포먼스+거리문화공연 등,041-660-2697,https://www.seosan.go.kr/tour/index.do,충청남도 서산시 해미면 남문2로 143,,36.71355735,126.550384,,,,,
수원화성문화제,화성행궁+행궁광장 등,2023-10-07,2023-10-09,주제공연+투어/전시/체험+정조대왕 능행차 공동재현,031-228-3068,https://www.swcf.or.kr/shcf/,경기도 수원시 팔달구 정조로 825,경기도 수원시 팔달구 남창동 6-2,37.28188256,127.0143944,,,,,
연천구석기축제,연천전곡리유적,2023-05-04,2023-05-07,선사문화체험+전시+이벤트,070-8806-5511,https://www.yeoncheon.go.kr/festival/,경기도 연천군 전곡읍 양연로 1510,경기도 연천군 전곡읍 전곡리 515,38.01564838,127.0614526,,,,,
대전효문화뿌리축제,뿌리공원+원도심 일원,2023-10-13,2023-10-15,효로 통하는 세상(孝通)+「효통로 1번지」+개폐막식+문중(문화)체험(참여)프로그램+주제공연+각종 온오프라인 참여 이벤트 등,042-606-6290,https://www.djjunggu.go.kr/hyo-ppuri/index.do,대전광역시 중구 뿌리공원로 47,대전광역시 중구 안영동 71-2,36.28533721,127.3844931,,,,,
진주남강유등축제,진주성+진주남강일원,2023-10-08,2023-10-22,개제식(초혼점등)+소망등 달기+추억의 유등띄우기+창작등 전시+진주성 둘레길등 전시+한국의 등·세계풍물등 전시 등,055-761-9111,http://www.yudeung.com,경상남도 진주시 남강로 626,경상남도 진주시 본성동 415,35.19043372,128.0802222,,,,,
강경젓갈축제,강경젓갈시장 일원,2023-10-19,2023-10-22,강경젓갈김치담그기+강경젓갈만들기체험+햅쌀밥과강경젓갈시식+젓갈퓨전요리+강경맛깔젓요리경연대회,041-746-5902,https://www.nonsan.go.kr/eggfestival/,충청남도 논산시 강경읍 금백로 45,충청남도 논산시 강경읍 황산리 198,36.15755625,127.0098063,,,,,
광주 추억의 충장축제,광주광역시 동구 충장로,2023-10-05,2023-10-09,충장 월드 퍼레이드+추억의 테마거리+추억 재현 프로젝트+맛의 추억 탐험대 등,062-608-4681,https://www.donggu.kr/index.es?sid=c8,광주광역시 동구 서남로 1(서석동),광주광역시 동구 서석동 31,35.1461417,126.9230932,,,,,
울산고래축제,장생포 고래문화특구 일원,2023-05-11,2023-05-14,퍼레이드+열기구 체험+뮤지컬 공연+고래노래방 등,052-226-1999,http://www.ulsanwhale.com,울산광역시 남구 장생포고래로 244,,,,,,,,
목포항구축제,목포항+삼학도 일원,2023-10-20,2023-10-22,퍼레이드+파시장터+공연+체험 등,061-270-8431,https://www.mokpo.go.kr/tour/festival,전라남도 목포시 삼학로92번길 68,,34.78285177,126.3922506,,,,,
순창장류축제,순창전통고추장민속마을 일원,2023-10-13,2023-10-15,문화공연+장류체험+전시+판매+주민참여 프로그램 등,063-650-1624,http://www.jangfestival.co.kr,전라북도 순창군 순창읍 민속마을길 6-3,전라북도 순창군 순창읍 백산리 265-4,35.36859967,127.1099773,,,,,
광안리어방축제,광안리해변+수영사적공원 일원,2023-05-12,2023-05-14,뮤지컬어방+경상좌수사행렬전시 등,051-610-4062,www.suyeong.go.kr/eobang,부산광역시 수영구 남천동로100,부산광역시 수영구 남천동148-15,35.14537016,129.1123694,,,,,
동래읍성역사축제,동래문화회관+읍성광장+온천장 일원,2023-10-13,2023-10-15,동래부사행차 길놀이+동래성 전투 뮤지컬+동래세가닥줄다리기+동래장터 체험 등,051-550-4094,https://www.dongnae.go.kr/festival/index.dongnae?contentsSid=169,부산광역시 동래구 문화로 80(명륜동),부산광역시 동래구 명륜동 137,35.21195069,129.090546,,,,,
영도다리축제,아미르공원+영도일원,2023-10-13,2023-10-15,개막주제공연+축하공연+불꽃쇼+퍼레이드+체험행사 등,051-403-1861,http://www.yeongdo.go.kr/ydfestival.web,,부산광역시 영도구 동삼동 1165,35.07719046,129.0820101,,,,,
관악강감찬축제,낙성대공원,2023-10-13,2023-10-15,강감찬 장군 출병식 및 전승행렬 거리 퍼레이드+고려마을 테마 체험부스+강감찬 장군 추모제향 등 다채로운 행사 진행,02-828-5762,https://ggcfest.com/,서울특별시 관악구 낙성대로 77,서울특별시 관악구 봉천동 228,37.47197208,126.959371,,,,,
이천쌀문화축제,이천농업테마공원,2023-10-18,2023-10-22,이천 쌀밥 명인전+무지개 가래떡 만들기+세계 쌀 요리 경연대회+거북놀이 등,031-644-4135,https://www.ricefestival.or.kr/,경기도 이천시 모가면 공원로 48,,,,,,,,
광주세계김치축제,광주김치타운 일원,2023-11-03,2023-11-06,김치 사랑 버스킹+전통발효식품 체험+어린이 김치담그기 체험+푸드트럭 라운지+16人16色 광주김치명인 비법을 찾아서,062-613-3955,https://kimchi.gwangju.go.kr/,광주광역시 남구 김치로 60,,,,,,,,
거제도국제펭귄수영축제,덕포해수욕장,2024-12-01,2024-12-31,펭귄수영+맨손 광어잡이 등,055-639-6864,,,경상남도 거제시 덕포동 364-4,34.91173654,128.7108483,,,,,
2023계룡軍문화축제,충남 계룡시일원(계룡대 활주로 및 시가지),2023-10-06,2023-10-10,"개막식,전시관, 체험, 공연·경연, 부대행사등",042-840-2623,http://m-festival.org/,,충남 계룡시 신도안면 석계리 76,,,,,,,
휴애리 유럽 수국축제,휴애리 자연생활공원,2023-07-15,2023-09-15,동물먹이주기체험 전통놀이체험,064-732-2114,hueree.com,제주특별자치도 서귀포시 남원읍 신례동로 256,,33.30853475,126.6343808,,,,,
상효원수목원 봉선화축제,상효원수목원,2023-07-29,2023-09-22,2014년 4월에 개원하여 운영하고 있는 제주도 서귀포시 돈내코 인근 중산간에 위치한 힐링 수목원 상효원에서 여름을 맞이하여 수국전시에 이어 산파첸스 축제가 열린다,064-733-2200,www.sanghyowon.com/,제주특별자치도 서귀포시 산록남로 2847-37,,33.30721676,126.5860085,,,,,
2023제주애니아일랜드페스티벌,서귀포시 문부공원 및 기적의 도서관,2023-09-16,2023-09-16,캐릭터 전시·캐릭터 마켓·캐릭터 놀이터·나만의 모자 만들기 체험·다양한 공연·애니 상영회·캐릭터 페이스 페인팅,064-766-0707,naver.me/I5464pEC,제주특별자치도 서귀포시 태평로537번길 40-9,,33.25398806,126.570696,,,,,
제13회 산지천축제,산지천 일원,2023-09-08,2023-09-10,산지천 토크와 컨퍼런스·길트기·개막공연·문화예술공연·시니어모델 패션쇼·청소년 댄스 콘테스트·산지천 소망등 띄우기·산지천 물총파티·촘대 광어 낚시·RC보트 투어링·산지천 로드드로잉·산지천 전시회· 스탬프투어·어린이 장터 등,064-728-4655,,제주특별자치도 제주시 칠성로길 48,,33.5141394,126.5277892,,,,,
아트 트랙 제주 2023,제주 전역,2023-09-01,2023-10-01,제주 전역을 전시장으로 한 제주를 여행하며 문화예술을 즐기는 아트 트랙 제주 2023,070-4367-6329,www.instagram.com/speeker_official,제주특별자치도 제주시 애월읍 일주서로 6935,,,,,,,,
제16회 제주해녀축제,해녀박물관 잔디광장,2023-09-23,2023-09-24,체험 및 홍보부스 운영·’즐거운 오후 2시’와 함께하는 해녀가족 노래자랑·지역문화공원,064-711-7021,,제주특별자치도 제주시 구좌읍 해녀박물관길 26,,33.52360988,126.863484,,,,,
휴애리 핑크뮬리축제,휴애리 자연생활공원,2023-09-15,2023-11-15,흑돼지야놀자·동물먹이주기체험·야생화 자연 학습체험·청귤체험·감귤체험·전통놀이체험,064-732-2114,hueree.com,제주특별자치도 서귀포시 남원읍 신례동로 256,,33.30853475,126.6343808,,,,,
2023 숲으로오라-찾아라초록 숲의 비밀,제주한라도서관 일원,2023-10-14,2023-10-14,어린이 환경수호대(3기)·숲속 보물찾기·업사이클 굿즈 만들기 등 다양한 체험 프로그램과 환경의 중요성을 직접 느낄 수 있는 교육 프로그램과 제주 설화 인형극·밤마실 극장 등 현장에서 참여할 수 있는 다양한 체험거리와 즐길거리가 마련된다,064-740-6000,www.instagram.com/jejuforest_ora/,제주특별자치도 제주시 오남로 221,,33.4762839,126.5161965,,,,,
신산 도채비 빛축제,신산공원 일대,2023-10-21,2023-11-19,제주 도심 속 휴식공간인 신산공원에서 가을밤 신비롭고 아름다운 빛이 켜진다. 어쩌면 기적처럼 소원이 이루어질지 모른다. 처음 만나는 도채비 빛 축제를 만나보자,,www.instagram.com/jeju_sinsan,제주특별자치도 제주시 신산로 82,,33.50548585,126.5347396,,,,,
마노르블랑 핑크뮬리축제,마노르블랑,2023-09-15,2023-11-30,대한민국 핑크뮬리의 성지 마노르블랑에서 핑크뮬리축제의 향연이 시작된다.,064-794-0999,manorblanc.modoo.at,제주특별자치도 서귀포시 안덕면 일주서로2100번길 46,,33.25482364,126.2949866,,,,,
제8회 고마로 마문화축제,고마로거리·신산공원,2023-10-13,2023-10-15,고마로가요제·거리퍼레이드·먹거리장터 및 체험부스 운영 등,064-728-4442,,제주특별자치도 제주시 신산로 82,,33.50548585,126.5347396,,,,,
제주 광어대축제,제주어류양식수협 특별행사부스,2023-10-14,2023-10-22,광어를 소재로 한 국내 유일의 행사로써 제주 광어의 우수성과 안정성을 소개하고 홍보하는 축제이다.,064-766-7225,,제주특별자치도 제주시 연삼로 166,,33.503977,126.5491571,,,,,
